name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M71T263_NEG,71.01223715183923,263.1809997558594,116925958.14399756,96365165.14523713,192339293.56766868,113131330.84521155,106417644.13546456,95514155.0140604,67458429.02721551,87557681.43340139,496427621.64394814,72098822.44135457,123782927.3057438,161168355.3567011,111671669.53053474,176818278.22865346,140116757.07519573
M72T399_NEG,72.0075261657424,398.6317138671875,62726487.711389914,90313884.0805882,41971720.513947755,171800057.6966005,57049897.763785996,65448839.224467754,115514954.1299908,38141232.0046698,112888285.68413155,35599938.22273242,67735114.00726779,82005525.7093705,44341943.72438902,162449521.41377538,230562632.70843014
M73T78_NEG,73.02792725019354,77.74258041381836,3985446.1002958817,3502100.9277741755,2931558.8400146794,3672725.3678408717,4190451.2338432567,3297165.360590219,4620254.680228439,4553228.435952171,3759145.4103784254,4088346.674096304,3835955.090151348,4522100.643645599,4162781.1926870295,3794969.665659828,4007026.2295932057
M74T458_1_NEG,73.91426616283181,458.1305236816406,4443571.9564567,11519841.23561095,12769863.150266651,13539470.021488631,4067935.3677610615,5205982.716717811,20311914.79274713,20901882.465367865,22520497.38769889,4708199.158896355,4324994.89341084,24938210.57526785,6101390.679897172,11044246.576239778,16118225.693810804
M74T458_2_NEG,74.02577081392175,458.0668640136719,748921.5084730609,1505449.0709930598,2253780.3025037744,2594559.468682598,341071.40559934225,620312.2431950144,4471951.634964753,4579675.839376927,4608685.572269654,702723.0130929352,553899.1412083922,5288543.539944302,648928.3068084932,1780638.1894557993,2379948.6262180246
M74T423_NEG,74.02314780754553,423.2278747558594,5290826.18665329,13630187.71637496,2603339.465400453,2692791.472193337,3484863.82152207,3338261.7606865517,7139652.056976531,3219658.014087918,4462343.62007013,2490024.1135821315,3375302.337689551,2366180.6669750544,2566010.6190398647,3285887.394195862,3587860.937428361
M75T140_NEG,75.00717882996729,139.58538818359375,85194939.01951618,85249457.77256176,76733532.1199732,122198473.72348028,83294419.92716143,68671065.71094538,71917627.9561352,61774780.31732337,80182568.24070913,81336775.48543467,74711835.15909043,105197148.2487223,50745623.08912908,78132067.39155518,153737971.76858592
M76T389_1_NEG,75.915531864154,389.48301696777344,4770550.8221220635,10297150.515429564,11116798.689661441,16601180.428406822,4482697.557861681,5953880.683022249,17412291.484795563,14567197.721010286,25004852.84901431,7407532.902084941,8498941.230933929,23070929.13171329,6940721.920026104,10493314.596159175,22244949.790701397
M78T458_1_NEG,77.91188007244287,458.1941833496094,729509.7047628978,1475680.3540063754,1880533.51019962,1055632.7834726705,324366.2991469834,465294.43214416725,4501960.555283453,4365481.159987589,4105847.449935434,197215.06348999255,603491.7164854559,4988327.716338086,378690.1796117128,914072.5869501948,2206568.5558666834
M79T93_NEG,78.91731470680776,93.21973037719727,22314857.840261884,39722452.717736304,19525293.520127174,18399213.688600957,18469833.252601936,25492702.890985973,17900394.372866116,12414615.777670395,16172923.65074686,17458467.245242067,9610897.94567818,9399929.389061308,11308760.025927976,7092816.687947278,27120874.56527621
