name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M70T937_POS,70.0129563362929,937.061279296875,4985747.751402971,5355413.091649187,4598907.115704478,5238237.760367917,5160314.4134062985,6531374.103658181,2281133.331082458,4608291.5980202835,5514272.378456428,5672105.594641118,5640701.383525092,4901758.301459488,5555228.6788568385,4783383.816364062,6298473.80369623
M70T64_POS,70.06573527191357,64.27294921875,16262643.097051753,22121612.69191476,16572967.975586727,10178428.732403964,16183555.531143537,6000715.662593534,11617241.264642868,5429983.850352422,24711399.988854323,16652457.11781336,30931317.204002436,12419661.11547897,9219377.231293147,9020214.946431134,10634138.646552427
M71T843_POS,70.56912159041875,843.4014892578125,2952344.8484544205,2992447.2940857923,3343242.959075563,2675405.9513106016,2694128.7933861115,2767892.8939707098,3239632.5451938277,2776731.1875425796,2615359.0738672395,2832761.151041221,2556092.612320478,2780287.083417037,2952403.0742115104,2793138.971020042,2875407.565896372
M71T803_POS,70.8114383166671,803.2815856933594,4280789.434845583,2320352.912940344,2283802.4457126507,2594651.4753355943,4163657.1263289596,2136193.201680968,1722593.5543016342,4220301.0858648,2053322.9823961211,2641052.7666188353,2202820.1796324435,2310247.8280415703,1534091.6888374079,2589236.6306106667,3120400.4496808993
M71T804_POS,70.9229190267242,803.5478515625,1160859.8304394758,611644.7406189528,777464.7007573454,868582.0452519554,1142185.262922451,1261325.7408244247,698271.440641291,1129800.556587961,554626.6004757737,738580.8061868529,595960.873402649,680001.4634812205,508087.2984341228,704552.7354351613,916098.6770138494
M72T67_POS,72.08137238973887,66.9932746887207,147290071.65433705,132853166.56007534,147790437.21240485,38185138.8126076,150337123.20327663,52901160.999966,148840051.612596,55307838.605488144,125779674.26138,205513631.67580366,284965602.9383202,66066123.313826665,148460933.89911178,40823047.10180055,39985202.478392504
M73T600_POS,72.56659763253728,599.5840532226562,544480.9755188022,696172.6090252796,717466.9278267908,652682.8077149827,523164.2428645244,555031.8025279879,624269.1288628483,468376.6555068501,466261.0764779954,615157.1326065593,422267.55960919766,639981.6028876626,592557.9249714186,549715.1963165957,695701.5710799836
M73T803_POS,72.70331689557523,802.9483642578125,2190317.511471513,1331079.1651687138,1084293.5925684785,1465538.5524495507,2233766.8942898596,1180696.2289179538,894209.7096694501,2396213.994548068,1058033.3472080745,1466578.5212493627,1404632.0513510357,1110427.3743790567,853713.444141942,1730950.5126268382,1859812.2548128576
M73T804_POS,72.81479289049008,803.5585285644531,636931.6769475507,678166.062981466,583862.2578897105,333234.3156295486,406297.8957487338,553339.1510475612,448187.47497729707,198514.94032582472,339676.75696249167,386121.62108819606,418962.4416917451,198756.87848508987,501304.5326462437,515090.0348055887,544781.9624495563
M73T938_POS,72.93729472172089,937.9528503417969,4223509.762012843,5425114.217168552,5614323.120082675,2618463.171773929,4204137.535769835,5985903.447731843,3685538.8613733277,3729367.857096366,3558707.8662312813,4783079.765150566,4373785.619555387,4166087.36398831,4735652.328413229,3533972.9315461423,4793268.363162436
