name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,score,isotope,adduct,Formula,matched.frag,compound.name,peak.group,confidence
M71T433_1_NEG,70.79956,432.82195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M71T263_NEG,71.01224,263.181,seed,"NA","NA",C00546,0.866648293035328,[M],M-H,C3H4O2,1,Methylglyoxal,C00546_2,grade1
M71T399_NEG,71.01226,398.58478,metAnnotation,C01046,M343T390_NEG,C00184,0.795779682333236,[M],M-H2O-H,C3H6O3,1,Glycerone,C00184_1,grade4
M71T326_NEG,71.01225,325.71768,seed,"NA","NA",C00546,0.744153147338857,[M],M-H,C3H4O2,1,Methylglyoxal,C00546_3,grade1
M72T399_NEG,72.00753,398.63171,metAnnotation,C01026,M102T452_NEG,C15809,0.796894711508214,[M],M-H,C2H3NO2,1,Iminoglycine,C15809_1,grade3
M72T427_1_NEG,72.13824,427.03595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M72T432_NEG,72.24759,432.36932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M73T78_NEG,73.02793,77.74258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T458_1_NEG,73.91427,458.13052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T458_2_NEG,74.02577,458.06686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T423_NEG,74.02315,423.22787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M75T390_1_NEG,74.69277,390.12045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M75T140_NEG,75.00718,139.58539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M75T514_NEG,75.46961,513.87689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M76T514_NEG,75.58106,513.92834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M76T389_1_NEG,75.91553,389.48302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M76T139_NEG,76.01052,139.39097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M78T458_1_NEG,77.91188,458.19418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M78T513_NEG,78.02555,512.90997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M79T93_NEG,78.91731,93.21973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M79T458_1_NEG,79.02613,457.67419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M79T458_2_NEG,79.13766,458.06686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M79T161_1_NEG,79.27661,161.22351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M79T161_2_NEG,79.38807,161.05423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M79T161_3_NEG,79.49852,161.11716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M80T162_1_NEG,79.61,161.95866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M80T154_NEG,80.01918,153.89209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M81T458_NEG,80.58352,458.26846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M81T93_NEG,80.91525,93.21583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M81T66_NEG,80.96358,66.35515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M81T157_NEG,80.97327,156.80939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M82T523_1_NEG,81.91692,523.03558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M82T324_NEG,82.02824,324.27454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M83T66_NEG,82.95254,66.13314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M83T158_NEG,82.97031,158.09579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M84T523_2_NEG,84.47287,522.87491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M85T522_1_NEG,84.58432,522.38477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M85T62_NEG,84.80832,61.85742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M85T65_NEG,84.94961,65.42319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M85T263_NEG,85.02788,262.70789,metAnnotation,C06010,M113T263_NEG,C00741,0.527502374080405,[M],M-H,C4H6O2,4,Diacetyl,C00741_1,grade3
M85T390_NEG,85.27755,390.07452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M88T428_NEG,87.58741,427.95616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M88T91_NEG,88.00245,91.19725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M92T478_1_NEG,91.92078,477.85004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M92T478_2_NEG,92.03232,477.85004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M93T952_NEG,93.00789,952.37576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M93T1073_NEG,93.0079,1073.26379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M93T432_NEG,93.04426,431.9398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M93T530_2_NEG,93.47616,530.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M94T91_NEG,94.00313,91.35862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M94T65_NEG,94.00312,64.5244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M94T956_NEG,94.00311,955.76468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M95T966_NEG,94.97903,965.55704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M95T129_NEG,94.97924,128.68454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M95T376_NEG,95.01232,376.10223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M95T264_NEG,95.01229,263.50024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M96T477_1_NEG,95.91845,477.22418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M96T190_NEG,95.97455,190.06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M97T390_NEG,96.77898,390.07452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M97T435_1_NEG,96.95855,434.72195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M97T65_1_NEG,96.95861,64.7268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M97T186_NEG,97.00279,185.74196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M97T477_1_NEG,97.03278,476.94046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M97T477_2_NEG,97.14426,476.72679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M99T477_1_NEG,98.59016,476.90558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M99T435_NEG,98.95439,434.76389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M99T217_NEG,99.00722,217.2867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M100T399_1_NEG,99.78081,398.72522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
